id,flight_id,passenger_id,booking_date,fare_class,fare_amount,taxes,fees,total_amount,currency,payment_status,payment_method,booking_status,seat_number,special_requests
B00236,F00032,P00048,2025-05-25,Premium Economy,1164,139,31,1334,USD,Failed,PayPal,Pending,C21,
B00237,F00177,P00002,2025-06-23,Economy,608,72,50,730,USD,Paid,Credit Card,Confirmed,B47,
B00238,F00304,P00089,2025-05-13,Economy,778,93,50,921,USD,Pending,Credit Card,Pending,D30,Infant bassinet
B00239,F00076,P00083,2025-05-11,Economy,524,62,35,621,USD,Paid,Credit Card,Cancelled,E18,
B00240,F00032,P00029,2025-06-13,Economy,776,93,42,911,USD,Paid,Credit Card,Confirmed,F7,Infant bassinet
B00241,F00413,P00094,2025-05-14,Economy,557,66,17,640,USD,Failed,Bank Transfer,Pending,D11,Wheelchair assistance
B00242,F00115,P00025,2025-05-13,Business,1162,139,32,1333,USD,Pending,Bank Transfer,Pending,A45,Infant bassinet
B00243,F00024,P00047,2025-05-24,Premium Economy,352,42,41,435,USD,Pending,Debit Card,Pending,A34,Infant bassinet
B00244,F00478,P00022,2025-06-12,Economy,618,74,16,708,USD,Paid,Debit Card,Confirmed,A40,Extra legroom
B00245,F00315,P00027,2025-04-19,First,3136,376,22,3534,USD,Failed,Credit Card,Pending,A37,
B00246,F00028,P00047,2025-05-03,Premium Economy,633,75,39,747,USD,Failed,PayPal,Pending,F33,
B00247,F00498,P00021,2025-06-19,Premium Economy,1261,151,37,1449,USD,Paid,Credit Card,Confirmed,E14,Wheelchair assistance
B00248,F00027,P00077,2025-05-30,Economy,426,51,36,513,USD,Paid,PayPal,Confirmed,D38,Medical assistance
B00249,F00260,P00095,2025-06-16,Premium Economy,999,119,19,1137,USD,Paid,Credit Card,Confirmed,D35,Extra legroom
B00250,F00093,P00088,2025-04-23,Business,1387,166,48,1601,USD,Paid,Credit Card,Confirmed,A3,
B00251,F00332,P00088,2025-04-30,Business,1715,205,35,1955,USD,Paid,Credit Card,Confirmed,E6,Extra legroom
B00252,F00108,P00098,2025-06-06,First,2256,270,28,2554,USD,Paid,Credit Card,Confirmed,E16,
B00253,F00038,P00057,2025-05-11,Economy,281,33,18,332,USD,Pending,Credit Card,Pending,A48,
B00254,F00039,P00056,2025-05-15,First,788,94,33,915,USD,Pending,Bank Transfer,Cancelled,F14,Extra legroom
B00255,F00197,P00051,2025-06-06,Premium Economy,790,94,20,904,USD,Paid,Bank Transfer,Cancelled,C45,
B00256,F00445,P00042,2025-06-19,Business,1927,231,36,2194,USD,Paid,PayPal,Confirmed,C48,
B00257,F00380,P00038,2025-05-09,Business,1912,229,45,2186,USD,Pending,PayPal,Pending,A4,Infant bassinet
B00258,F00249,P00041,2025-05-20,Business,1005,120,47,1172,USD,Failed,Debit Card,Cancelled,E8,Vegetarian meal
B00259,F00215,P00062,2025-05-09,Business,1837,220,29,2086,USD,Paid,Credit Card,Confirmed,B35,Wheelchair assistance
B00260,F00097,P00096,2025-04-24,Premium Economy,217,26,45,288,USD,Paid,Debit Card,Confirmed,C34,Infant bassinet
B00261,F00277,P00032,2025-05-23,Business,887,106,26,1019,USD,Paid,Debit Card,Confirmed,A26,Extra legroom
B00262,F00155,P00038,2025-06-09,First,3232,387,45,3664,USD,Paid,Debit Card,Confirmed,B6,Vegetarian meal
B00263,F00174,P00026,2025-06-20,First,948,113,40,1101,USD,Pending,Credit Card,Pending,F12,
B00264,F00029,P00049,2025-05-10,Business,1530,183,38,1751,USD,Paid,Credit Card,Confirmed,F44,
B00265,F00458,P00093,2025-07-09,Economy,299,35,46,380,USD,Pending,PayPal,Pending,D35,Wheelchair assistance
B00266,F00382,P00073,2025-05-06,Premium Economy,459,55,28,542,USD,Paid,Credit Card,Confirmed,E29,Infant bassinet
B00267,F00310,P00018,2025-05-18,Premium Economy,921,110,21,1052,USD,Pending,Bank Transfer,Pending,E28,Vegetarian meal
B00268,F00363,P00004,2025-06-12,Business,1480,177,49,1706,USD,Pending,Credit Card,Pending,F26,
B00269,F00435,P00034,2025-05-16,First,3172,380,30,3582,USD,Paid,Debit Card,Confirmed,E28,Infant bassinet
B00270,F00070,P00096,2025-06-05,Business,612,73,43,728,USD,Paid,Debit Card,Confirmed,A48,Extra legroom
B00271,F00054,P00049,2025-05-12,First,3036,364,26,3426,USD,Paid,Debit Card,Confirmed,B29,Wheelchair assistance
B00272,F00204,P00040,2025-05-01,Premium Economy,1257,150,36,1443,USD,Pending,Credit Card,Pending,B49,
B00273,F00235,P00039,2025-05-27,Premium Economy,301,36,39,376,USD,Paid,Credit Card,Cancelled,F32,Vegetarian meal
B00274,F00258,P00078,2025-05-17,Premium Economy,1167,140,40,1347,USD,Paid,Bank Transfer,Confirmed,C10,
B00275,F00189,P00093,2025-06-22,Premium Economy,1228,147,20,1395,USD,Paid,PayPal,Confirmed,D21,
B00276,F00110,P00050,2025-06-07,First,1160,139,15,1314,USD,Failed,Bank Transfer,Pending,F41,
B00277,F00358,P00095,2025-05-15,Economy,617,74,23,714,USD,Failed,Credit Card,Pending,B39,Medical assistance
B00278,F00460,P00034,2025-06-02,First,2152,258,47,2457,USD,Failed,Credit Card,Pending,C20,
B00279,F00464,P00047,2025-06-13,First,2396,287,26,2709,USD,Paid,PayPal,Confirmed,D44,Wheelchair assistance
B00280,F00282,P00036,2025-05-09,Economy,157,18,29,204,USD,Paid,Bank Transfer,Confirmed,F31,
B00281,F00459,P00007,2025-06-16,Economy,531,63,30,624,USD,Pending,Credit Card,Pending,F33,
B00282,F00471,P00031,2025-06-03,First,1140,136,25,1301,USD,Paid,Credit Card,Confirmed,F10,Wheelchair assistance
B00283,F00342,P00013,2025-05-20,Business,857,102,20,979,USD,Paid,Credit Card,Confirmed,D4,Extra legroom
B00284,F00239,P00004,2025-05-09,Economy,872,104,21,997,USD,Paid,Debit Card,Confirmed,A2,Infant bassinet
B00285,F00136,P00028,2025-05-09,Economy,822,98,35,955,USD,Pending,Credit Card,Cancelled,F14,Vegetarian meal
B00286,F00190,P00081,2025-06-20,Economy,790,94,41,925,USD,Pending,Credit Card,Pending,F8,
B00287,F00042,P00038,2025-05-23,Premium Economy,1041,124,29,1194,USD,Paid,PayPal,Confirmed,C30,
B00288,F00205,P00048,2025-06-07,Business,1380,165,15,1560,USD,Failed,PayPal,Cancelled,B15,Wheelchair assistance
B00289,F00126,P00100,2025-05-12,Economy,537,64,46,647,USD,Paid,Credit Card,Confirmed,E4,Infant bassinet
B00290,F00153,P00030,2025-06-02,Business,1967,236,26,2229,USD,Paid,Credit Card,Confirmed,D41,
B00291,F00046,P00048,2025-06-27,Economy,282,33,38,353,USD,Failed,Credit Card,Cancelled,B6,Wheelchair assistance
B00292,F00256,P00007,2025-06-12,Premium Economy,1320,158,29,1507,USD,Paid,Bank Transfer,Confirmed,B26,
B00293,F00040,P00059,2025-05-22,First,2168,260,23,2451,USD,Paid,Credit Card,Confirmed,A22,Medical assistance
B00294,F00310,P00098,2025-06-09,First,2456,294,26,2776,USD,Paid,Credit Card,Confirmed,C8,Medical assistance
B00295,F00179,P00048,2025-05-24,Economy,374,44,42,460,USD,Paid,Credit Card,Confirmed,F43,
B00296,F00447,P00015,2025-06-14,Business,1622,194,48,1864,USD,Paid,Debit Card,Confirmed,C42,Wheelchair assistance
B00297,F00173,P00031,2025-05-12,First,2524,302,21,2847,USD,Failed,Bank Transfer,Pending,B41,
B00298,F00334,P00062,2025-06-19,Economy,487,58,25,570,USD,Paid,Bank Transfer,Confirmed,A18,
B00299,F00320,P00027,2025-05-20,Economy,779,93,19,891,USD,Pending,Credit Card,Pending,C39,Medical assistance
B00300,F00165,P00044,2025-05-12,Economy,765,91,18,874,USD,Paid,PayPal,Confirmed,C30,
